Date,Close,High,Low,Open,Volume,log_return,simple_return,vol_20d,VIX,year,month
2015-01-05,167.0526123046875,169.24718101537695,166.74620416225187,169.08155533396388,169632600,-0.01822474412171909,-0.01805967775772377,,19.920000076293945,2015,1
2015-01-06,165.47914123535156,167.88074508876025,164.68412031268113,167.35901221336937,209151400,-0.009463654499191865,-0.009419015049379031,,21.1200008392334,2015,1
2015-01-07,167.54119873046875,167.88073956316435,166.35696320099726,166.80415376773578,125346700,0.012384131548901924,0.012461132440761524,,19.309999465942383,2015,1
2015-01-08,170.51422119140625,170.72954593158084,168.93248153754053,168.94903525876288,147217800,0.017589418401256007,0.017745023214978506,,17.010000228881836,2015,1
2015-01-09,169.14776611328125,170.9448302148578,168.53493734422247,170.92826385990315,158567300,-0.008046013395820159,-0.008013730869937952,,17.549999237060547,2015,1
2015-01-12,167.82278442382812,169.43766963528094,167.21824497501035,169.2803208086118,144396100,-0.007864120564194254,-0.007833279267582927,,19.600000381469727,2015,1
2015-01-13,167.35072326660156,170.16639741804175,166.05053592069322,169.04012523018008,214553300,-0.002816818504593556,-0.002812854993719971,,20.559999465942383,2015,1
2015-01-14,166.34039306640625,166.53915144512624,164.44395583561231,165.33833694878177,192991100,-0.006055500060172379,-0.00603720247199524,,21.479999542236328,2015,1
2015-01-15,164.81663513183594,167.29276878135636,164.7006958904179,166.97808377546713,176613900,-0.009202695752632179,-0.009160480545227556,,22.389999389648438,2015,1
2015-01-16,166.97805786132812,167.1354066580678,164.42738230955322,164.60957432299625,211879600,0.013028860017305058,0.01311410542851621,,20.950000762939453,2015,1
2015-01-20,167.33413696289062,167.8807129528235,165.76895127275668,167.61570181718582,130991100,0.0021302198467639476,0.002132490377018348,,19.889999389648438,2015,1
2015-01-21,168.1788787841797,168.6592020890844,166.40665751815214,166.8704144645625,122942700,0.005035534042631907,0.005048233651669065,,18.850000381469727,2015,1
2015-01-22,170.67987060546875,170.8123635660142,167.55777539756028,168.9324925342067,174356000,0.01476153258586319,0.014871022088918329,,16.399999618530273,2015,1
2015-01-23,169.7440643310547,170.6798677187709,169.6115587363211,170.42313339031367,117516800,-0.0054979015021327645,-0.005482815701080557,,16.65999984741211,2015,1
2015-01-26,170.14158630371094,170.23268233008037,168.81656812684636,169.5287699776171,92009700,0.002339152318856107,0.0023418902700536037,,15.520000457763672,2015,1
2015-01-27,167.8972930908203,169.04011895690113,167.06915217860907,168.0877619624292,134044600,-0.013278509222008832,-0.01319073873499954,,17.219999313354492,2015,1
2015-01-28,165.74415588378906,169.18093632444723,165.55368697285624,169.0815634381223,168514300,-0.012907071977673998,-0.012824132941003152,,20.440000534057617,2015,1
2015-01-29,167.27622985839844,167.53295158450695,164.535072128723,165.9429221459114,173585400,0.009201147131597006,0.00924360781494804,,18.760000228881836,2015,1
2015-01-30,165.17274475097656,167.42528962048652,164.90774616208577,166.10027140317112,197729700,-0.012654652828266787,-0.012574919396512563,,20.969999313354492,2015,1
2015-02-02,167.21823120117188,167.30932721771725,163.85598072283597,165.66961155632973,163107000,0.012307868862851885,0.012383922379441081,0.17533684864211901,19.43000030517578,2015,2
2015-02-03,169.63644409179688,169.64473359129488,167.74000626227811,168.11266728315633,124212900,0.01435784989968663,0.014461418909017087,0.17062435463068018,17.329999923706055,2015,2
2015-02-04,168.9904327392578,170.0835848102543,168.53495270967596,168.87449351685765,134306700,-0.0038154805802659026,-0.0038082108829720074,0.16727748765111758,18.329999923706055,2015,2
