Date,actual_return,rf_signal,rf_proba,vix,rf_static_return,bh_return,random_return,random_signal,wf_signal,wf_proba,wf_return,vix_signal,vix_return,combined_signal,combined_return,year,eq_bh,eq_random,eq_static,eq_wf,eq_vix,eq_combined,dd_static,dd_vix,dd_bh
2021-01-04,-0.0136141970212938,1,0.545149402282363,26.96999931335449,-0.0141141970212938,-0.0141141970212938,-0.0005,0,1.0,0.545149402282363,-0.0141141970212938,0,-0.0005,0,-0.0005,2021,0.9858858029787062,0.9995,0.9858858029787062,0.9858858029787062,0.9995,0.9995,0.0,0.0,0.0
2021-01-05,0.0068873617418707,1,0.5575437531579194,25.34000015258789,0.0068873617418707,0.0068873617418707,0.0063873617418707,1,1.0,0.5575437531579194,0.0068873617418707,0,0.0,0,0.0,2021,0.9926759551399953,1.0058841680609998,0.9926759551399953,0.9926759551399953,0.9995,0.9995,0.0,0.0,0.0
2021-01-06,0.0059787083719309,1,0.5521721939095989,25.06999969482422,0.0059787083719309,0.0059787083719309,-0.0005,0,1.0,0.5521721939095989,0.0059787083719309,0,0.0,0,0.0,2021,0.9986108751836054,1.0053812259769694,0.9986108751836054,0.9986108751836054,0.9995,0.9995,0.0,0.0,0.0
2021-01-07,0.014857105949003,0,0.48775343547711747,22.3700008392334,-0.0005,0.014857105949003,0.0,0,0.0,0.48775343547711747,-0.0005,0,0.0,0,0.0,2021,1.0134473427580348,1.0053812259769694,0.9981115697460136,0.9981115697460136,0.9995,0.9995,-0.0004999999999999989,0.0,0.0
2021-01-08,0.0056979256309717,1,0.5051990297654306,21.559999465942383,0.005197925630971699,0.0056979256309717,0.0,0,1.0,0.5051990297654306,0.005197925630971699,0,0.0,0,0.0,2021,1.019221890347976,1.0053812259769694,1.0032996794569657,1.0032996794569657,0.9995,0.9995,0.0,0.0,0.0
2021-01-11,-0.0067408540656426,0,0.46753818983542955,24.07999992370605,-0.0005,-0.0067408540656426,-0.0072408540656426,1,0.0,0.46753818983542955,-0.0005,0,-0.0,0,-0.0,2021,1.0123514643246319,0.9981014072393334,1.0027980296172374,1.0027980296172374,0.9995,0.9995,-0.0004999999999998529,0.0,-0.0067408540656426
2021-01-12,0.0002111344829702,0,0.4500022244396898,23.32999992370605,0.0,0.0002111344829702,-0.0005,0,0.0,0.4500022244396898,0.0,0,0.0,0,0.0,2021,1.0125652066276363,0.9976023565357137,1.0027980296172374,1.0027980296172374,0.9995,0.9995,-0.0004999999999998529,0.0,-0.006531142809410219
2021-01-13,0.0026928460857664,1,0.5195593663337831,22.209999084472656,0.0021928460857664,0.0026928460857664,0.0,0,1.0,0.5195593663337831,0.0021928460857664,0,0.0,0,0.0,2021,1.0152918888808868,0.9976023565357137,1.0049970113512978,1.0049970113512978,0.9995,0.9995,0.0,0.0,-0.003855884085993631
2021-01-14,-0.0035017252701495,1,0.6038432820851102,23.25,-0.0035017252701495,-0.0035017252701495,-0.0,0,1.0,0.6038432820851102,-0.0035017252701495,0,-0.0,0,-0.0,2021,1.011736615617015,0.9976023565357137,1.0014777879202243,1.0014777879202243,0.9995,0.9995,-0.0035017252701494074,0.0,-0.0073441071094003715
2021-01-15,-0.0072929405918459,1,0.5478433365370212,24.34000015258789,-0.0072929405918459,-0.0072929405918459,-0.0077929405918459,1,1.0,0.5478433365370214,-0.0072929405918459,0,-0.0,0,-0.0,2021,1.0043580805847248,0.9898281006369455,0.9941740699088689,0.9941740699088689,0.9995,0.9995,-0.01076912798763113,0.0,-0.014583487564397275
